timestamp,node_id,location,night,motion,brightness_pct,voltage_V,current_A,power_W,energy_kWh,rssi
2026-04-11 23:33:12,SL-01,KIIT_GATE_1,0,0,0.0,235.92,0.0,0.0,0.0,-110
2026-04-11 23:33:13,SL-01,KIIT_GATE_1,1,1,100.0,237.0,1.155,273.85,4.8e-05,-43
2026-04-11 23:33:15,SL-01,KIIT_GATE_1,1,0,30.0,227.26,1.122,254.92,0.00019,-62
2026-04-11 23:33:17,SL-01,KIIT_GATE_1,1,0,30.0,230.04,1.149,264.32,0.000336,-66
2026-04-11 23:33:21,SL-01,KIIT_GATE_1,1,1,100.0,230.48,0.693,159.65,0.000514,-57
2026-04-11 23:33:23,SL-01,KIIT_GATE_1,0,0,0.0,228.9,0.0,0.0,0.000514,-86
2026-04-11 23:33:25,SL-01,KIIT_GATE_1,1,1,100.0,239.72,0.741,177.58,0.000612,-117
2026-04-11 23:33:27,SL-01,KIIT_GATE_1,0,0,0.0,225.14,0.0,0.0,0.000612,-66
2026-04-11 23:33:29,SL-01,KIIT_GATE_1,0,0,0.0,225.08,0.0,0.0,0.000612,-58
2026-04-11 23:33:31,SL-01,KIIT_GATE_1,1,0,30.0,226.18,0.734,166.08,0.000705,-74
2026-04-11 23:33:33,SL-01,KIIT_GATE_1,1,0,30.0,239.56,0.542,129.82,0.000777,-78
2026-04-11 23:33:35,SL-01,KIIT_GATE_1,0,0,0.0,226.5,0.0,0.0,0.000777,-98
2026-04-11 23:33:37,SL-01,KIIT_GATE_1,0,0,0.0,233.04,0.0,0.0,0.000777,-88
2026-04-11 23:33:39,SL-01,KIIT_GATE_1,0,0,0.0,228.9,0.0,0.0,0.000777,-51
2026-04-11 23:33:41,SL-01,KIIT_GATE_1,1,1,100.0,232.68,1.111,258.58,0.00092,-89
2026-04-12 00:05:02,SL-01,KIIT_GATE_1,0,0,0.0,235.92,0.0,0.0,0.0,-110
2026-04-12 00:05:03,SL-01,KIIT_GATE_1,1,1,100.0,237.0,1.155,273.85,4.9e-05,-43
2026-04-12 00:05:05,SL-01,KIIT_GATE_1,1,0,30.0,227.26,1.122,254.92,0.00019,-62
2026-04-12 00:05:07,SL-01,KIIT_GATE_1,1,0,30.0,230.04,1.149,264.32,0.000338,-66
2026-04-12 00:05:09,SL-01,KIIT_GATE_1,1,0,30.0,223.34,1.051,234.84,0.000468,-51
2026-04-12 00:05:11,SL-01,KIIT_GATE_1,1,1,100.0,230.48,0.693,159.65,0.000557,-57
2026-04-12 00:05:13,SL-01,KIIT_GATE_1,0,0,0.0,228.9,0.0,0.0,0.000557,-86
2026-04-12 00:05:15,SL-01,KIIT_GATE_1,1,1,100.0,239.72,0.741,177.58,0.000655,-117
2026-04-12 00:05:17,SL-01,KIIT_GATE_1,0,0,0.0,225.14,0.0,0.0,0.000655,-66
2026-04-12 00:05:19,SL-01,KIIT_GATE_1,0,0,0.0,225.08,0.0,0.0,0.000655,-58
2026-04-12 00:05:21,SL-01,KIIT_GATE_1,1,0,30.0,226.18,0.734,166.08,0.000747,-74
2026-04-12 00:05:23,SL-01,KIIT_GATE_1,1,0,30.0,239.56,0.542,129.82,0.00082,-78
2026-04-12 00:05:25,SL-01,KIIT_GATE_1,0,0,0.0,226.5,0.0,0.0,0.00082,-98
2026-04-12 00:05:27,SL-01,KIIT_GATE_1,0,0,0.0,233.04,0.0,0.0,0.00082,-88
2026-04-12 00:05:29,SL-01,KIIT_GATE_1,0,0,0.0,228.9,0.0,0.0,0.00082,-51
2026-04-12 00:05:31,SL-01,KIIT_GATE_1,1,1,100.0,232.68,1.111,258.58,0.000963,-89
2026-04-12 00:05:33,SL-01,KIIT_GATE_1,0,0,0.0,227.14,0.0,0.0,0.000963,-63
2026-04-12 00:05:35,SL-01,KIIT_GATE_1,1,0,30.0,221.94,0.923,204.81,0.001077,-71
2026-04-12 00:05:37,SL-01,KIIT_GATE_1,0,0,0.0,224.04,0.0,0.0,0.001077,-99
2026-04-12 00:05:39,SL-01,KIIT_GATE_1,1,0,30.0,233.26,0.996,232.23,0.001206,-80
2026-04-12 00:05:41,SL-01,KIIT_GATE_1,0,0,0.0,237.24,0.0,0.0,0.001206,-104
2026-04-12 00:05:43,SL-01,KIIT_GATE_1,0,0,0.0,239.46,0.0,0.0,0.001206,-50
2026-04-12 00:05:45,SL-01,KIIT_GATE_1,0,0,0.0,228.24,0.0,0.0,0.001206,-108
2026-04-12 00:05:47,SL-01,KIIT_GATE_1,1,0,30.0,239.98,0.957,229.56,0.001334,-97
2026-04-12 00:05:49,SL-01,KIIT_GATE_1,1,0,30.0,237.6,0.993,235.94,0.001465,-89
2026-04-12 00:05:51,SL-01,KIIT_GATE_1,1,0,30.0,221.98,1.128,250.44,0.001604,-105
2026-04-12 00:05:53,SL-01,KIIT_GATE_1,1,0,30.0,222.46,0.434,96.55,0.001658,-108
2026-04-12 00:05:55,SL-01,KIIT_GATE_1,0,0,0.0,235.96,0.0,0.0,0.001658,-51
2026-04-12 00:05:57,SL-01,KIIT_GATE_1,1,0,30.0,232.54,0.563,130.85,0.00173,-78
2026-04-12 00:05:59,SL-01,KIIT_GATE_1,1,0,30.0,227.4,1.035,235.27,0.001861,-118
2026-04-12 00:06:01,SL-01,KIIT_GATE_1,1,1,100.0,223.5,1.462,326.82,0.002043,-105
2026-04-12 00:06:03,SL-01,KIIT_GATE_1,0,0,0.0,224.94,0.0,0.0,0.002043,-117
2026-04-12 00:06:05,SL-01,KIIT_GATE_1,1,0,30.0,231.94,0.833,193.23,0.002151,-108
2026-04-12 00:06:07,SL-01,KIIT_GATE_1,0,0,0.0,236.7,0.0,0.0,0.002151,-61
2026-04-12 00:06:09,SL-01,KIIT_GATE_1,1,0,30.0,239.24,1.396,333.98,0.002336,-73
2026-04-12 00:06:11,SL-01,KIIT_GATE_1,1,1,100.0,224.68,0.503,112.99,0.002399,-51
2026-04-12 00:06:13,SL-01,KIIT_GATE_1,1,1,100.0,238.34,0.988,235.43,0.00253,-74
2026-04-12 00:06:15,SL-01,KIIT_GATE_1,1,1,100.0,225.16,0.901,202.8,0.002643,-118
2026-04-12 00:06:17,SL-01,KIIT_GATE_1,0,0,0.0,232.72,0.0,0.0,0.002643,-50
2026-04-12 00:08:13,SL-01,KIIT_GATE_1,0,0,0.0,235.92,0.0,0.0,0.0,-110
2026-04-12 00:08:14,SL-01,KIIT_GATE_1,1,1,100.0,237.0,1.155,273.85,4.9e-05,-43
2026-04-12 00:08:16,SL-01,KIIT_GATE_1,1,0,30.0,227.26,1.122,254.92,0.000191,-62
2026-04-12 00:08:18,SL-01,KIIT_GATE_1,1,0,30.0,230.04,1.149,264.32,0.000338,-66
2026-04-12 00:08:20,SL-01,KIIT_GATE_1,1,0,30.0,223.34,1.051,234.84,0.000468,-51
2026-04-12 00:08:22,SL-01,KIIT_GATE_1,1,1,100.0,230.48,0.693,159.65,0.000557,-57
2026-04-12 00:08:24,SL-01,KIIT_GATE_1,0,0,0.0,228.9,0.0,0.0,0.000557,-86
